,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
1579,1579,1579,898052,2021,Ras Al Khaimah,Dec,Wednesday,At noon,The fifth week,Shock,Enter a major road without making sure that it is free,Al -Kharan Street,Commercial area,Hurry,Double road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,26,Female,80,2,There is no,Hole,1
1580,1580,1580,898053,2021,Abu Dhabi,November,Monday,Before noon,The first week,Shock,Not leaving enough distance,El-Shikh Zayed street,Tunnel / Bridge,Sa`da Bridge,public road,day,crowded,No Clouds,dry,passenger,A passenger in the front seat,Simple,53,Female,120,4,There is no,Not at intersection,1
1581,1581,1581,898054,2021,Abu Dhabi,July,Monday,In the afternoon,the third week,Shock,Not leaving enough distance,Rotary,hospital,Eclipse,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,25,Male,100,3,There is no,vertigo,1
1582,1582,1582,898055,2021,Abu Dhabi,April,Monday,At noon,second week,Shock,Not to make the road / not to give the brigades,International airport roads,Residential area,Khalifa City (a),Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,20,Male,40,2,There is no,A meeting of half -vertical roads,1
1583,1583,1583,898056,2021,Abu Dhabi,February,Thursday,Evening,second week,Shock,Not leaving enough distance,Banias Street (Al Najd) (Sex),Governmental,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,42,Male,80,4,There is no,Not on or by (20) meters of a,1
1584,1584,1584,898057,2021,Abu Dhabi,September,Monday,Before noon,The first week,Be shocked,Failure to adhere to traffic signs,Riyadh city,External road,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,48,Male,40,1,There is no,Multi -legs intersection,1
1585,1585,1585,898058,2021,Abu Dhabi,February,Saturday,In the afternoon,second week,Be shocked,Not to make the road / not to give the brigades,An internal street,Commercial area,Camp Companies,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,55,Male,40,2,There is no,Not on or by (20) meters of a,1
1586,1586,1586,898059,2021,Sharjah,Dec,Friday,Evening,The first week,Be shocked,Driving under the influence of intoxicant or anesthetic,King Abdulaziz Street,Residential area,Boding,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,51,Female,40,2,There is no,Vertical cross intersection,1
1587,1587,1587,898060,2021,Abu Dhabi,November,Saturday,Evening,second week,Cross -100,Exaggeration in a place where transgression is forbidden,Old Truck Street,External road,There is no definition of regions,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,45,Male,100,1,There is no,Not at intersection,1
1588,1588,1588,898061,2021,Abu Dhabi,October,Wednesday,Before noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Arabian Gulf Street(Thirty),Governmental,There is no definition of regions,public road,day,crowded,No Clouds,dry,driver,Driver,Medium,47,Male,120,4,There is no,Not at intersection,1
1589,1589,1589,898062,2021,Ajman,March,Thursday,In the afternoon,fourth week,Run,Negligence and lack of attention,Badr Street,Residential area,Rashidiya,parking,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,9,Male,20,0,There is no,Not on or by (20) meters of a,1
1590,1590,1590,898063,2021,Abu Dhabi,Dec,Sunday,In the afternoon,second week,Shock,Overcoming the red light signal - the arrow signal,Sultan Bin Zayed the First Street (Thirty Two),Governmental,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Female,100,3,There is no,Vertical cross intersection,1
1591,1591,1591,898064,2021,Ras Al Khaimah,April,Sunday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Montaser Street,Commercial area,Palm,Other (select),day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,22,Male,80,2,There is no,Hole,1
1592,1592,1592,898065,2021,Abu Dhabi,Dec,Thursday,Before noon,second week,Be shocked,Not to make the road / not to give the brigades,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,32,Male,100,4,There is no,Not on or by (20) meters of a,1
1593,1593,1593,898066,2021,Abu Dhabi,July,Friday,At noon,The fifth week,Shock,Not to make the road / not to give the brigades,There is no definition,Residential area,Industrial Archbishop,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,28,Male,60,2,There is no,Vertical cross intersection,1
1594,1594,1594,898067,2021,Abu Dhabi,March,Tuesday,Before noon,The fifth week,Be shocked,Not to give priority to the infantry crossing,Municipal Street,Governmental,Jimmy,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,26,Male,80,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
1595,1595,1595,898068,2021,Abu Dhabi,Dec,Thursday,At noon,The first week,Shock,Enter a major road without making sure that it is free,Al Ain Street - Abuiriya,External road,Abu Kira,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,12,Female,140,2,There is no,Hole,1
1596,1596,1596,898069,2021,Abu Dhabi,October,Sunday,Evening,The fifth week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Industrial Archbishop,parking,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,4,Female,20,1,He crosses not on transit lines,Not on or by (20) meters of a,1
1597,1597,1597,898070,2021,Abu Dhabi,February,Monday,In the afternoon,second week,Run,Not to give priority to the infantry crossing,Hamdan Bin Mohammed Street(Five),hospital,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,39,Male,80,3,He crosses pedestrian crossing lines,Not at intersection,1
1598,1598,1598,898071,2021,Abu Dhabi,March,Thursday,Evening,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,There is no definition,External road,Industrial Archbishop,public road,Night - Enough lighting,Hole,No Clouds,dry,driver,Driver,Medium,30,Female,60,2,There is no,vertigo,1
1599,1599,1599,898072,2021,Abu Dhabi,May,Thursday,At noon,the third week,Shock,Failure to adhere to traffic signs,El-Shikh Zayed street,Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,25,Male,60,2,There is no,Vertical cross intersection,1
1600,1600,1600,898073,2021,Ajman,November,Sunday,Evening,the third week,Run,Negligence and lack of attention,unknown,Residential area,Rashidiya,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,38,Male,50,0,There is no,Not on or by (20) meters of a,1
1601,1601,1601,898074,2021,Sharjah,May,Saturday,At noon,fourth week,Consecutive,Not leaving enough distance,Khorfakkan Road,Tunnel / Bridge,The forum tunnel to the heavy tunnel,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,57,Male,100,2,There is no,Not on or by (20) meters of a,1
1602,1602,1602,898075,2021,Abu Dhabi,January,Saturday,Evening,fourth week,Shock,Not leaving enough distance,Al Ain Street - Dubai,External road,Hayer,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,34,Male,140,4,There is no,Not on or by (20) meters of a,1
1603,1603,1603,898076,2021,Abu Dhabi,October,Monday,Before noon,fourth week,Be shocked,Not to make the road / not to give the brigades,International airport roads,School,Khalifa City (a),vertigo,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,38,Female,40,3,There is no,vertigo,1
1604,1604,1604,898077,2021,Ras Al Khaimah,September,Saturday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Jisr Al -Arabi Street,Commercial area,Palm,Intersection,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,42,Male,80,2,There is no,Vertical cross intersection,1
1605,1605,1605,898078,2021,Abu Dhabi,April,Tuesday,Evening,The first week,A fixed body was shocked outside the road,Tire explosion,Zayed City Street (New),Petrol station,Zayed City,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,69,Male,140,2,There is no,Not on or by (20) meters of a,1
1606,1606,1606,898079,2021,Abu Dhabi,June,Saturday,At noon,The first week,Shock,Overcoming the red light signal - the arrow signal,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,There is no definition of regions,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,36,Male,100,4,There is no,Vertical cross intersection,1
1607,1607,1607,898080,2021,Abu Dhabi,May,Friday,Evening,the third week,Deterioration,Sudden deviation,Arabian Gulf Street(Thirty),Commercial area,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,45,Male,100,4,There is no,Not on or by (20) meters of a,1
1608,1608,1608,898081,2021,Abu Dhabi,June,Wednesday,At noon,fourth week,Shock,Not to make the road / not to give the brigades,Armored road,Commercial area,Industrial armored bridge,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,1,There is no,Vertical cross intersection,1
1609,1609,1609,898082,2021,Abu Dhabi,January,Sunday,Before noon,The fifth week,Deterioration,Enter a major road without making sure that it is free,Hamdan Bin Mohammed Street(Five),Mosque,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,18,Female,80,3,There is no,Not at intersection,1
1610,1610,1610,898083,2021,Abu Dhabi,July,Saturday,Evening,the third week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,International airport roads,Residential area,Khalifa City (a),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,60,2,There is no,Hole,1
1611,1611,1611,898084,2021,Abu Dhabi,July,Tuesday,Before noon,second week,Shock,Not leaving enough distance,Al Ain Street,Industrial area,Industrial,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Male,80,3,There is no,Not at intersection,1
1612,1612,1612,898085,2021,Abu Dhabi,March,Monday,At noon,The first week,Be shocked,Not adhering to the mandatory itinerary,Truck Street,Industrial area,Bare,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,52,Male,120,3,There is no,vertigo,1
1613,1613,1613,898086,2021,Abu Dhabi,February,Wednesday,Before noon,The first week,Shock,Not adhering to the mandatory itinerary,IP145 Rashid bin Saeed Al Maktoum intersection - 33 Street,Residential area,Embassies,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,100,4,There is no,Vertical cross intersection,1
1614,1614,1614,898087,2021,Ajman,July,Wednesday,In the afternoon,second week,Run,Negligence and lack of attention,Ajman Ring Street,Commercial area,Naimia,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,8,Male,50,0,There is no,A meeting of half -vertical roads,1
1615,1615,1615,898088,2021,Abu Dhabi,November,Tuesday,Before noon,The first week,Cross -100,Overing from the right or ingredon is cautious,Sweihan Road,Work area,Zayed Military City Roundabout,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Other (select),driver,Driver,Medium,25,Male,100,1,There is no,Not on or by (20) meters of a,1
1616,1616,1616,898089,2021,Ras Al Khaimah,February,Monday,In the afternoon,fourth week,Be shocked,Sudden deviation,Al Ras area,Mosque,Whisper,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,41,Male,60,2,There is no,Not on or by (20) meters of a,1
1617,1617,1617,898090,2021,Abu Dhabi,June,Wednesday,At noon,The first week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Truck Street,Tunnel / Bridge,Bare,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,34,Male,120,3,There is no,Not at intersection,1
1618,1618,1618,898091,2021,Abu Dhabi,May,Monday,Evening,second week,Be shocked,Overcoming the red light signal,Hilton Roundabout (East - Western),Residential area,Sage,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,45,Male,80,3,There is no,Multi -legs intersection,1
1619,1619,1619,898092,2021,Abu Dhabi,July,Saturday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Missing,Residential area,The city of Shakhbout,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,28,Male,80,2,There is no,Not on or by (20) meters of a,1
1620,1620,1620,898093,2021,Sharjah,June,Thursday,Before noon,The first week,Shock,Enter a major road without making sure that it is free,Fourth Industrial Street,Industrial area,The twelve industrial industrial,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,40,1,There is no,Not on or by (20) meters of a,1
1621,1621,1621,898094,2021,Abu Dhabi,March,Wednesday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,Petrol station,-,public road,Night - Enough lighting,crowded,No Clouds,dry,driver,Driver,Medium,28,Male,140,4,There is no,Not on or by (20) meters of a,1
1622,1622,1622,898095,2021,Abu Dhabi,March,Monday,At noon,fourth week,Shock,Enter a major road without making sure that it is free,International airport roads,Residential area,Khalifa City (a),Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,35,Male,60,1,There is no,A meeting of half -vertical roads,1
1623,1623,1623,898096,2021,Abu Dhabi,May,Thursday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,52,Male,140,6,There is no,Not on or by (20) meters of a,1
1624,1624,1624,898097,2021,Abu Dhabi,August,Sunday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Petrol station,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,36,Male,80,3,There is no,Others,1
1625,1625,1625,898098,2021,Ajman,February,Monday,At noon,second week,Be shocked,Enter a major road without making sure that it is free,unknown,Commercial area,Industrial cliff 1,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,40,0,There is no,Vertical cross intersection,1
1626,1626,1626,898099,2021,Ajman,February,Saturday,Evening,The first week,A fixed body shocked the road,Driving under the influence of intoxicant or anesthetic,Etihad Street,Tunnel / Bridge,Mashirf Commercial,Out of the way,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,29,Male,40,0,There is no,Multi -legs intersection,1
1627,1627,1627,898100,2021,Ajman,April,Saturday,Evening,The first week,Run,Negligence and lack of attention,Sheikh Rashid bin Saeed Al Maktoum Street,Commercial area,Mashirf Commercial,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,28,Female,80,0,There is no,Vertical cross intersection,1
