,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
1699,1699,81493,104724,Abu Dhabi,Civil Defense Center - Gentot,Police and traffic,12/2/2016,2016/12/02-15:06,2016/12/02-15:12,2016/12/02-15:19,12/2/2016 15:34,2016/12/02-15:39,2016/12/02-15:43,Transportation accidents,Clash,Cars,governmental,governmental,After the Gentut Bridge towards the interior,existence,Missing,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
1700,1700,81516,104747,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,12/4/2016,2016/12/04-06:27,2016/12/04-06:39,2016/12/04-06:45,12/4/2016 6:50,2016/12/04-06:52,2016/12/04-07:08,Transportation accidents,Clash,Missing,Means of transport,car,The trick area,Disturbing injured,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,,
1701,1701,81546,104777,Ras Al Khaimah,Civil Defense Center - Riffa,Police and traffic,12/6/2016,2016/12/06-07:10,2016/12/06-07:14,2016/12/06-07:22,12/6/2016 7:24,2016/12/06-07:25,2016/12/06-07:29,Transportation accidents,Clash,Cars,Other places,Other places,Missing,existence,Missing,fog,natural,Normal,Limited,it is not determined yet,0,0,,
1702,1702,81547,104778,Ajman,Civil Defense Center - Al -Jarf,Military officers and members,12/6/2016,2016/12/06-07:13,2016/12/06-07:19,2016/12/06-07:22,12/6/2016 7:28,2016/12/06-07:37,2016/12/06-07:44,Transportation accidents,Clash,Missing,Other places,Streets and squares,Al -Jarf area near Al -Zawraa Roundabout,Rescue and transfer injured people,Missing,fog,natural,Normal,basic,it is not determined yet,1,0,,
1703,1703,81557,104788,Ajman,Civil Defense Center - Industrial,Police and traffic,12/6/2016,2016/12/06-20:23,2016/12/06-20:30,2016/12/06-20:34,12/6/2016 20:39,2016/12/06-20:43,2016/12/06-20:49,Transportation accidents,Clash,Cars,Other places,Other places,Al -Talla area near the Hajar Mosque,rescue,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1704,1704,81563,104794,Al Dhafra,Civil Defense Center - commodities,Police and traffic,12/7/2016,2016/12/07-09:31,2016/12/07-09:40,2016/12/07-09:42,12/7/2016 9:45,2016/12/07-09:47,2016/12/07-10:15,Transportation accidents,A deterioration resulted in a fire,Cars,governmental,governmental,A report stating that there is a car burning at the camel race,Fire control and cooling,Have the field,I did not specify,unclassified,Normal,basic,it is not determined yet,0,0,,
1705,1705,81568,104799,Sharjah / Eastern Region,Civil Defense Center - Kalba,Police and traffic,12/8/2016,2016/12/08-11:23,2016/12/08-11:34,2016/12/08-11:37,12/8/2016 11:40,2016/12/08-11:45,2016/12/08-11:58,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Holocaust Street towards or on,Inspection,Cars,No Clouds,natural,Important,Limited,it is not determined yet,0,0,,
1706,1706,81581,104812,Sharjah,Civil Defense Center - Sunan,Police and traffic,12/9/2016,2016/12/09-00:35,2016/12/09-00:43,2016/12/09-00:48,12/9/2016 0:54,2016/12/09-00:59,2016/12/09-01:04,Transportation accidents,A collision resulted in a fire,Cars,governmental,governmental,One intersection in your direction to the intersection of two near a school,Fire fighting,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
1707,1707,81585,104816,Eye,Civil Defense Center - Al -Faqa,Police and traffic,12/9/2016,2016/12/09-14:44,2016/12/09-14:52,2016/12/09-14:55,12/9/2016 15:47,2016/12/09-15:55,2016/12/09-16:00,Transportation accidents,Deterioration,Cars,Means of transport,car,Before the Al Ain Petroleum Petroleum Station towards Dubai,Separation of a battery,Specific,No Clouds,natural,Normal,medium,it is not determined yet,3,2,,
1708,1708,81587,104818,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,12/9/2016,2016/12/09-17:35,2016/12/09-17:41,2016/12/09-17:44,12/9/2016 17:45,2016/12/09-17:46,2016/12/09-17:52,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Stagnation,Inspection,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1709,1709,81590,104821,Ras Al Khaimah,Civil Defense Center - Riffa,Police and traffic,12/9/2016,2016/12/09-22:40,2016/12/09-22:45,2016/12/09-22:49,12/9/2016 23:05,2016/12/09-23:20,2016/12/09-23:25,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,"Southern Al -Dhait, Sheikh Mohammed bin Zayed Street",Rescue people,Specific,No Clouds,natural,very important,basic,Traffic accident,0,0,,
1710,1710,81595,104826,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,12/10/2016,2016/12/10-12:36,2016/12/10-12:39,2016/12/10-12:48,12/10/2016 12:49,2016/12/10-13:15,2016/12/10-13:27,Transportation accidents,Clash,Trucks,Other places,Other places,Al -Falaiya Street,Rescue people,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
1711,1711,81596,104827,Ras Al Khaimah,Civil Defense Center - Northern Administration,Military officers and members,12/10/2016,2016/12/10-12:49,2016/12/10-12:52,2016/12/10-13:25,12/10/2016 13:26,2016/12/10-13:27,2016/12/10-13:29,Transportation accidents,Clash,Cars,Other places,Other places,Salameh Street,Rescue people,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,,
1712,1712,81605,104836,Abu Dhabi,Civil Defense Center - Al -Shamkha,Police and traffic,12/11/2016,2016/12/11-01:00,2016/12/11-01:06,2016/12/11-01:13,12/11/2016 1:20,2016/12/11-01:25,2016/12/11-01:35,Transportation accidents,One hundredth,sidewalk,governmental,governmental,Tall,Disturbing injured,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1713,1713,81623,104854,Sharjah,Civil Defense Center - Al Dhaid,Police and traffic,12/12/2016,2016/12/12-02:11,2016/12/12-02:18,2016/12/12-02:40,12/12/2016 2:50,2016/12/12-02:54,2016/12/12-02:59,Transportation accidents,Clash,Cars,governmental,governmental,Near the incentive bridge,Disturbing injured,Missing,I did not specify,unclassified,unclassified,medium,it is not determined yet,5,2,,
1714,1714,81630,104861,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Civil defense departments and centers,12/12/2016,2016/12/12-17:53,2016/12/12-18:35,2016/12/12-18:39,12/12/2016 18:41,2016/12/12-18:42,2016/12/12-18:58,Transportation accidents,Shocked,Trucks,Public facilities and services,Public places and places,Al -Saadi/Al -Tuwayen near the scale,Fire fighting,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,0,0,,
1715,1715,81645,104876,Fujairah,Civil Defense Center - Al -Madinah,Police and traffic,12/13/2016,2016/12/13-12:44,2016/12/13-12:46,2016/12/13-12:55,12/13/2016 12:57,2016/12/13-13:10,2016/12/13-13:16,Transportation accidents,Deterioration,Gas cylinder,Other places,Streets and squares,Yabsa Street - Fujairah,Separation of a battery,Missing,No Clouds,natural,Normal,basic,Traffic accident,0,0,,
1716,1716,81650,104881,Fujairah,Civil Defense Center - Administration,Police and traffic,12/13/2016,2016/12/13-20:06,2016/12/13-20:11,2016/12/13-20:15,12/13/2016 21:55,2016/12/13-21:59,2016/12/13-22:10,Transportation accidents,Deterioration,Trucks,Other places,Other places,Yabsa Street - Sakmam Roundabout,Disturbing injured,Transmission,No Clouds,natural,Normal,basic,Traffic accident,0,0,,
1717,1717,81659,104890,Sharjah,Civil Defense Center - Mawlh,Police and traffic,12/14/2016,2016/12/14-04:46,2016/12/14-04:55,2016/12/14-05:10,12/14/2016 5:22,2016/12/14-05:30,2016/12/14-05:37,Transportation accidents,Clash,Cars,governmental,governmental,Mohammed bin Zayed Street opposite the village of registration,Directing injured and deceased,Missing,I did not specify,unclassified,unclassified,medium,it is not determined yet,3,1,,
1718,1718,81663,104894,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,12/14/2016,2016/12/14-14:17,2016/12/14-14:22,2016/12/14-14:30,12/14/2016 14:47,2016/12/14-15:00,2016/12/14-15:06,Transportation accidents,A collision resulted in a fire,Cars,Public facilities and services,Public places and places,Sheikh Rashid Bin Saeed Street at Edinuk Petroleum Station in Poot,Fire fighting,Missing,No Clouds,natural,Important,basic,Traffic accident,0,0,,
1719,1719,81678,104909,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,12/15/2016,2016/12/15-14:45,2016/12/15-14:51,2016/12/15-14:55,12/15/2016 14:58,2016/12/15-15:35,2016/12/15-15:40,Transportation accidents,Clash,the person,Means of transport,Methods and transport facilities,Daiya area,rescue,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,,
1720,1720,81693,104924,Ras Al Khaimah,Civil Defense Center - Riffa,Police and traffic,12/17/2016,2016/12/17-00:02,2016/12/17-00:07,2016/12/17-00:13,12/17/2016 0:16,2016/12/17-00:18,2016/12/17-00:24,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Emirates Street,rescue,Missing,No Clouds,natural,Normal,basic,Traffic accident,0,0,,
1721,1721,81706,104937,Dubai,Jebel Ali Center,The audience,12/16/2016,2016/12/16-02:35,2016/12/16-02:40,2016/12/16-03:26,12/16/2016 3:50,2016/12/16-03:53,2016/12/16-04:15,Transportation accidents,Clash,Trucks,Means of transport,Methods and transport facilities,Jebel Ali Port The Free Zone No. 5,rescue,Missing,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
1722,1722,81710,104941,Dubai,Jebel Ali Center,The audience,12/16/2016,2016/12/16-02:35,2016/12/16-02:40,2016/12/16-03:26,12/16/2016 3:50,2016/12/16-03:53,2016/12/16-04:15,Transportation accidents,Clash,Trucks,Means of transport,Truck,Bar Dubai - Jebel Ali Port Dieseland No. 5,Rescue people,Transmission,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1723,1723,81711,104942,Dubai,Al -Rashidiya Center,Police and traffic,12/16/2016,2016/12/16-03:38,2016/12/16-03:44,2016/12/16-03:55,12/16/2016 4:25,2016/12/16-04:28,2016/12/16-04:40,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,car,Deira - the top of the Mirdif bridge towards the pink,Fire combat and rescue,Missing,No Clouds,natural,Normal,basic,it is not determined yet,3,0,,
1724,1724,81712,104943,Dubai,Al -Rashidiya Center,Civil defense departments and centers,12/16/2016,2016/12/16-03:55,2016/12/16-03:57,2016/12/16-04:03,12/16/2016 4:28,2016/12/16-04:31,2016/12/16-05:10,Transportation accidents,A collision resulted in a fire,Cars,Means of transport,car,Deira - below the Mirdif Bridge towards Sharjah,Fire combat and rescue,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
1725,1725,81758,104989,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,12/22/2016,2016/12/22-11:56,2016/12/22-12:06,2016/12/22-12:13,12/22/2016 12:29,2016/12/22-12:32,2016/12/22-12:50,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Sheikh Khalifa Street towards Sharjah,rescue,Missing,No Clouds,natural,Normal,basic,it is not determined yet,3,0,,
1726,1726,81759,104990,Ajman,Civil Defense Center - Administration,Police and traffic,12/22/2016,2016/12/22-11:59,2016/12/22-12:06,2016/12/22-12:25,12/22/2016 13:00,2016/12/22-13:05,2016/12/22-13:13,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,Creation and deterioration of a car,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,3,0,,
1727,1727,81780,105011,Ras Al Khaimah,Civil Defense Center - Riffa,The audience,12/23/2016,2016/12/23-17:48,2016/12/23-17:58,2016/12/23-18:09,12/23/2016 18:18,2016/12/23-18:38,2016/12/23-18:53,Transportation accidents,A deterioration resulted in a fire,Building,Public facilities and services,Public places and places,Northern,take actions,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1728,1728,81809,105040,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,12/25/2016,2016/12/25-15:08,2016/12/25-15:16,2016/12/25-15:36,12/25/2016 15:48,2016/12/25-15:52,2016/12/25-15:59,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Sheikh Khalifa Street towards the bodies,take actions,Missing,I did not specify,unclassified,unclassified,Limited,it is not determined yet,0,0,,
1729,1729,81819,105050,Ras Al Khaimah,Civil Defense Center - Administration,The audience,12/26/2016,2016/12/26-15:56,2016/12/26-16:05,2016/12/26-16:09,12/26/2016 16:12,2016/12/26-16:15,2016/12/26-16:30,Transportation accidents,Clash,Missing,Public facilities and services,Public places and places,Golan Street,Disturbing injured,Missing,No Clouds,natural,Important,basic,it is not determined yet,0,0,,
1730,1730,81829,105060,Umm Al Quwain,Al -Aqran Center,Police and traffic,12/26/2016,2016/12/26-20:28,2016/12/26-20:31,2016/12/26-20:34,12/26/2016 20:55,2016/12/26-21:05,2016/12/26-21:11,Transportation accidents,Shocked,Cars,Means of transport,Methods and transport facilities,Sheikh Zayed Street Al -Surra area,Fire control and cooling,Cars,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1731,1731,81838,105069,Eye,Civil Defense Center - Maqam,Police and traffic,12/28/2016,2016/12/28-00:04,2016/12/28-00:08,2016/12/28-00:11,12/28/2016 0:45,2016/12/28-00:49,2016/12/28-00:53,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,Street Emirates University,cooling,Cars,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
1732,1732,81843,105074,Abu Dhabi,Civil Defense Center - Mossafah (M33),Police and traffic,12/28/2016,2016/12/28-08:47,2016/12/28-08:52,2016/12/28-09:25,12/28/2016 10:53,2016/12/28-10:54,2016/12/28-10:57,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Industrial armored tunnel in the direction of the interior,Being and preparing,Cars,I did not specify,unclassified,Important,medium,it is not determined yet,0,0,,
1733,1733,81849,105080,Ajman,Civil Defense Center - Administration,Police and traffic,12/29/2016,2016/12/29-01:59,2016/12/29-02:06,2016/12/29-02:15,12/29/2016 3:47,2016/12/29-03:50,2016/12/29-03:58,Transportation accidents,One hundredth,wall,residential,residential,Ghanem building on Hammouda Al -Dhaheri/ Fifth Park,Take bodies,Missing,No Clouds,natural,Important,medium,it is not determined yet,0,1,,
1734,1734,81862,105093,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,12/29/2016,2016/12/29-22:45,2016/12/29-22:49,2016/12/29-22:51,12/29/2016 22:55,2016/12/29-23:20,2016/12/29-23:25,Transportation accidents,Clash,Cars,Other places,Other places,crash accident,take actions,Missing,No Clouds,natural,unclassified,basic,it is not determined yet,1,0,,
1735,1735,81878,105109,Fujairah,Civil Defense Center - Dibba,Police and traffic,12/31/2016,2016/12/31-07:19,2016/12/31-07:22,2016/12/31-07:26,12/31/2016 7:30,2016/12/31-07:32,2016/12/31-07:35,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,On the Ras area road,Exit and transfer injured people,Missing,No Clouds,natural,unclassified,basic,Traffic accident,1,0,,
1736,1736,81888,105119,Fujairah,Civil Defense Center - Al -Taween,Civil defense departments and centers,1/1/2017,2017/01/01-14:15,2017/01/01-14:20,2017/01/01-14:22,1/1/2017 14:25,2017/01/01-14:27,2017/01/01-14:30,Transportation accidents,Deterioration,Cars,Other places,Other places,Al -Muqamqa area / Al -Shuhada Street,Inspection,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,1,0,0,0
1737,1737,81913,105144,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,1/3/2017,2017/01/03-10:47,2017/01/03-11:14,2017/01/03-11:30,1/3/2017 11:40,2017/01/03-11:45,2017/01/03-12:15,Transportation accidents,Deterioration,Cars,Other places,Other places,Sheikh Khalifa Street towards Khalifa,rescue,Missing,I did not specify,unclassified,unclassified,basic,it is not determined yet,2,0,0,0
1738,1738,81924,105155,Abu Dhabi,Civil Defense Center - Shakhbout City,Police and traffic,1/4/2017,2017/01/04-12:13,2017/01/04-12:37,2017/01/04-13:32,1/4/2017 13:47,2017/01/04-14:24,2017/01/04-15:04,Transportation accidents,Clash,Missing,Means of transport,Methods and transport facilities,Near the truck bridge 5 kg,Disturbing injured,Transmission,No Clouds,natural,Normal,basic,Traffic accident,1,0,0,0
1739,1739,81925,105156,Abu Dhabi,Civil Defense Center - Al -Mina Street,Police and traffic,1/4/2017,2017/01/04-15:36,2017/01/04-15:56,2017/01/04-16:22,1/4/2017 16:38,2017/01/04-16:52,2017/01/04-18:23,Transportation accidents,One hundredth,Cars,Means of transport,Methods and transport facilities,Yas Road towards the outside,Sand -dropped oil coverage,Ready Mix Concrete,No Clouds,natural,Normal,basic,Traffic accident,2,0,0,0
1740,1740,81965,105196,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,1/7/2017,2017/01/07-15:17,2017/01/07-15:22,2017/01/07-15:27,1/7/2017 15:30,2017/01/07-15:55,2017/01/07-16:02,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Picnic,Fire fighting and transporting a person,Missing,No Clouds,natural,Important,basic,it is not determined yet,0,0,,
1741,1741,81968,105199,Abu Dhabi,Civil Defense Center - Mossafah M14,Civil defense departments and centers,1/7/2017,2017/01/07-22:17,2017/01/07-22:26,2017/01/07-22:34,1/7/2017 22:37,2017/01/07-22:48,2017/01/07-22:50,Transportation accidents,Shocked,Light,Means of transport,Methods and transport facilities,Exhausted,Fire fighting,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,0,0
1742,1742,81972,105203,Abu Dhabi,Civil Defense Center - City,Civil defense departments and centers,1/8/2017,2017/01/08-06:26,2017/01/08-06:27,2017/01/08-06:48,1/8/2017 6:53,2017/01/08-07:04,2017/01/08-07:06,Transportation accidents,Deterioration,Cars,Means of transport,Methods and transport facilities,peace Street,rescue,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,0,0
